title,roomName,gender,roomType,py,deposit,rentFee,region,brandType,roomOption,url,imgUrl
하품 SKY,SKY,공용,1인실,65.6,50000000,450000,교대역,하품,"천장형 냉난방 에어컨
바닥 난방 시스템
원목 수납 침대(SS), 매트리스
오픈 수납장, 신발장
디지털 도어락
책상, 의자
블라인드",https://www.hapoom.co/gyodae-co-living,"https://static.wixstatic.com/media/acb830_03ba857a5fc34aae887d0f03979bc6af~mv2.jpg/v1/fill/w_440,h_257,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/acb830_03ba857a5fc34aae887d0f03979bc6af~mv2.jpg"
하품 ROUND,ROUND,공용,1인실,26,30000000,780000,교대역,하품,"수납형 싱글 침대
매트리스 
책상
의자
옷장
수납장
바닥 난방 시스템
냉/난방기
환풍기
메모보드
스탠드조명
블라인드",https://www.hapoom.co/gyodae-co-living,https://mblogthumb-phinf.pstatic.net/MjAyMTExMjNfMjUz/MDAxNjM3NjU5MjM2Mjk1.xunzNvjMLOlm6XvLHRxQgUsaMtKtx8toJmvd8LT2vxMg.tI0el3cEubw9_St0ytfxcKXPPQZvpSiEIKyV569GjsMg.JPEG.ha--poom/O_W1A9186.jpg?type=w800
하품 STANDARD,STANDARD,공용,1인실,29.3,10000000,720000,교대역,하품,"천장형 냉난방 에어컨
바닥 난방 시스템
원목 수납 침대(SS)
매트리스
오픈 수납장
신발장
디지털 도어락
책상
의자
블라인드",https://www.hapoom.co/gyodae-co-living,"https://static.wixstatic.com/media/acb830_5e09b04f5630418db640dc54c68268eb~mv2.jpg/v1/fill/w_440,h_257,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/acb830_5e09b04f5630418db640dc54c68268eb~mv2.jpg"
커먼타운 역삼,3F Frontier Life,공용,1인실,26,5000000,1500000,역삼역,커먼타운,"Wi-Fi 
월패드 
전동 블라인드 
스마트 도어락 
개인 화장실 
키친(인덕션, 냉장고 포함) 
매트리스 및 베딩
건조 겸용 세탁기
에어컨 
벤치형 소파 및 테이블 
스탠드형 화장대",,
커먼타운 역삼,4F Nomad Life,공용,1인실,26,5000000,1500000,역삼역,커먼타운,"Wi-Fi 
월패드 
전동 블라인드 
스마트 도어락 
개인 화장실 
키친(인덕션, 냉장고 포함) 
매트리스 및 베딩
건조 겸용 세탁기
에어컨 
테이블 일체형 침대 
스탠드형 화장대",,
커먼타운 역삼,5F Cat Life,공용,1인실,29.3,5000000,1450000,역삼역,커먼타운,"Wi-Fi 
월패드 
전동 블라인드
스마트 도어락
개인 화장실
키친(인덕션, 냉장고 포함)
매트리스 및 베딩
건조 겸용 세탁기
에어컨
캣워커 겸용 선반
책상 및 의자",,
커먼타운 역삼,6F Terrace Life,공용,1인실,29.3,5000000,1450000,역삼역,커먼타운,"Wi-Fi 
월패드 
전동 블라인드
스마트 도어락
개인 화장실
키친(인덕션, 냉장고 포함)
매트리스 및 베딩
건조 겸용 세탁기
에어컨
모듈형 타공판
선반",,
커먼타운 역삼,7F Minimal Life,공용,1인실,29.3,5000000,1450000,역삼역,커먼타운,"Wi-Fi 
월패드 
전동 블라인드
스마트 도어락
개인 화장실
키친(인덕션, 냉장고 포함)
매트리스 및 베딩
건조 겸용 세탁기
에어컨
욕조와 욕조커버(테이블 겸용)
좌식 테이블",,
커먼타운 역삼,8F Penthouse Life,공용,1인실,65.6,10000000,,역삼역,커먼타운,"Wi-Fi 
월패드 
전동 블라인드
스마트 도어락
개인 화장실
키친(인덕션, 냉장고 포함)
매트리스 및 베딩
건조 겸용 세탁기
에어컨
소파 및 소파 테이블
바데스크 및 의자",,
커먼타운 신도림,Type A,공용,1인실,26,,960000,신도림역,커먼타운,"빌트인 옷장, 수납장, 신발장
주방(인덕션, 전기 후드, 음식물 건조 기능 드레인)
빌트인 냉장고 (273L)
슈퍼 싱글 사이즈 매트리스 및 침대 프레임
시스템 에어컨
빌트인 데스크 및 의자
공기 순환기
에어컨
드럼세탁기 (9kg)
샤워부스 포함 
건식 화장실
가스 보일러(개별 난방용)
커텐
KT 인터넷
스마트 디지털 도어락",,
커먼타운 신도림,Type B,공용,1인실,29.3,,990000,신도림역,커먼타운,"빌트인 옷장, 수납장, 신발장
주방(인덕션, 전기 후드, 음식물 건조 기능 드레인)
빌트인 냉장고 (273L)
슈퍼 싱글 사이즈 매트리스 및 침대 프레임
시스템 에어컨
빌트인 데스크 및 의자
공기 순환기
드럼세탁기 (9kg)
샤워부스 포함 
건식 화장실
가스 보일러(개별 난방용)
커텐
KT 인터넷
스마트 디지털 도어락""",,
커먼타운 신도림,Type C,공용,1인실,65.6,,,신도림역,커먼타운,"빌트인 옷장, 수납장, 신발장
주방(인덕션, 전기 후드, 음식물 건조 기능 드레인)
빌트인 냉장고 (273L)
퀸 사이즈 매트리스 및 침대 프레임
시스템 에어컨
빌트인 데스크 및 의자
공기 순환기
에어컨
드럼세탁기 (9kg)
샤워부스 포함 
건식 화장실
가스 보일러(개별 난방용)
커텐
KT 인터넷
스마트 디지털 도어락""",,
커먼타운 센트럴,Type A,남,1인실,26,1500000,550000,서울역,커먼타운,"스마트 도어락
매트리스
냉장고
에어컨
개별 전열교환기
옷장수납장
개별 책상 및 의자
개인조명
USB 콘센트
TV
쇼파
정수기
에어컨
냉장고
세탁기
건조기
주방 식기류
진공청소기
테이블&의자
닌텐도 스위치
제빙기",,
커먼타운 센트럴,Type B,남,1인실,29.3,1500000,650000,서울역,커먼타운,"스마트 도어락
매트리스
냉장고
에어컨
개별 전열교환기
옷장수납장
개별 책상 및 의자
개인조명
USB 콘센트
TV
쇼파
정수기
에어컨
냉장고
세탁기
건조기
주방 식기류
진공청소기
테이블&의자
닌텐도 스위치
제빙기",,
커먼타운 센트럴,Type C,남,1인실,65.6,1500000,,서울역,커먼타운,"스마트 도어락
매트리스
냉장고
에어컨
개별 전열교환기
옷장수납장
개별 책상 및 의자
개인조명
USB 콘센트
TV
쇼파
정수기
에어컨
냉장고
세탁기
건조기
주방 식기류
진공청소기
테이블&의자
닌텐도 스위치
제빙기",,
